개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),비상시설위치,시설구분명,시설명_건물명,해제일자,,정보
3040000,3040000-S202000003,2020-01-22,,1,영업/정상,18,사용중,,,,,,1009,,서울특별시 광진구 자양동 858번지,서울특별시 광진구 동일로18길 10 (자양동, 한영해시안아파트),5079,한영해시안아파트 지하주차장 1층,2023-06-19 14:48:16,U,2023-06-21 02:40:00.0,,205525.535034662,448609.929449714,서울특별시 광진구 자양동 858번지,공공용시설,한영해시안아파트 지하주차장 1층,,서울시광진구민방위대피시설인허가정보.csv
3040000,3040000-S202000001,2020-01-22,,1,영업/정상,18,사용중,,,,,,11520,,서울특별시 광진구 자양동 784번지 1호,서울특별시 광진구 뚝섬로31길 20 (자양동, 대동아파트),5074,자양대동아파트  지하주차장 1층,2023-06-19 14:46:52,U,2023-06-21 02:40:00.0,,205965.564760877,448244.038861845,서울특별시 광진구 자양동 784번지 1호,공공용시설,자양대동아파트  지하주차장 1층,,서울시광진구민방위대피시설인허가정보.csv
3040000,3040000-S202000002,2020-01-22,,1,영업/정상,18,사용중,,,,,,673,,서울특별시 광진구 자양동 830번지,서울특별시 광진구 능동로3다길 13 (자양동, 한강아남아파트),5086,한강아남아파트 지하주차장 1층,2023-06-19 14:47:26,U,2023-06-21 02:40:00.0,,205682.248083663,447905.636610358,서울특별시 광진구 자양동 830번지,공공용시설,한강아남아파트 지하주차장 1층,,서울시광진구민방위대피시설인허가정보.csv
3040000,3040000-S199600009,1996-03-09,,01,영업/정상,18,사용중,,,,,,919.05,,서울특별시 광진구 군자동 99번지,서울특별시 광진구 군자로12길 46 (군자동, 일성파크아파트),05004,일성파크아파트 지하주차장 지하1층,2023-07-26 20:39:21,U,2022-12-06 22:08:00.0,,206348.177069053,449891.572134723,,,,,서울시광진구민방위대피시설인허가정보.csv
3040000,3040000-S199000003,1996-04-17,,01,영업/정상,18,사용중,,,,,,8765,,서울특별시 광진구 광장동 567번지,서울특별시 광진구 아차산로76길 31 (광장동, 광나루현대아파트),04969,광나루현대아파트 지하주차장 1~2층,2023-10-31 16:29:24,U,2022-11-01 00:02:00.0,,209523.395129627,449429.706137784,,,,,서울시광진구민방위대피시설인허가정보.csv
3040000,3040000-S197000001,2019-06-21,,1,영업/정상,18,사용중,,,,,,719.67,,서울특별시 광진구 구의동 238번지 1호,서울특별시 광진구 광나루로36길 47 (구의동),5038,동국대사대부여중 지하1층,2023-06-29 09:31:56,U,2023-07-01 02:40:00.0,,207603.589633807,448933.812411749,서울특별시 광진구 구의동 238번지 1호,공공용시설,동국대사대부여중 지하1층,,,서울시광진구민방위대피시설인허가정보.csv
3040000,3040000-S201900003,2019-08-02,43679,4,취소/말소/만료/정지/중지,19,사용중지,43679,,,,,682.42,,서울특별시 광진구 구의동 237번지 6호,서울특별시 광진구 광나루로36길 56 (구의동, 구의제1동주민센터),5038,구의1동주민센터,2019-08-02 13:52:48,I,2019-08-04 02:21:53.0,,207503.447040486,448911.929480104,서울특별시 광진구 구의동 237번지 6호,공공시설,구의1동주민센터,20190802,서울시광진구민방위대피시설인허가정보.csv
3040000,3040000-S201100006,2011-07-31,43059,4,취소/말소/만료/정지/중지,19,사용중지,43059,,,,,132,,서울특별시 광진구 구의동 237번지 6호,서울특별시 광진구 광나루로36길 56 (구의동, 구의제1동주민센터),5038,구의1동 주민센터,2017-11-20 17:03:05,I,2018-08-31 23:59:59.0,,207503.447040486,448911.929480104,서울특별시 광진구 구의동 237번지 6호,공공시설,구의1동 주민센터,20171120,서울시광진구민방위대피시설인허가정보.csv
3040000,3040000-S202000004,2020-01-29,,01,영업/정상,18,사용중,,,,,,18728.74,,서울특별시 광진구 군자동 98번지,서울특별시 광진구 능동로 209 (군자동, 세종대학교),05006,세종대학교 대양AI센터 지하주차장 지하3~5층,2023-08-23 11:33:01,U,2022-12-07 22:05:00.0,,206481.062740469,449832.323358171,,,,,서울시광진구민방위대피시설인허가정보.csv
3040000,3040000-S199500004,1995-01-01,,01,영업/정상,18,사용중,,,,,,6664.49,,서울특별시 광진구 능동 256-16 5호선 아차산역,서울특별시 광진구 천호대로 지하657, 5호선 아차산역 지하 (능동),04954,아차산역(5호선) 대합실 지하 1~2층,2023-08-25 10:42:12,U,2022-12-07 22:07:00.0,,207560.29925004,450223.627198404,,,,,서울시광진구민방위대피시설인허가정보.csv
3040000,3040000-S196000001,1982-09-04,,01,영업/정상,18,사용중,,,,,,854,,서울특별시 광진구 군자동 98번지,서울특별시 광진구 능동로 209 (군자동, 세종대학교),05006,세종대학교 군자관 지하1층,2023-10-23 13:31:32,U,2022-10-30 22:05:00.0,,206481.062740469,449832.323358171,,,,,서울시광진구민방위대피시설인허가정보.csv
3040000,3040000-S201800001,2018-03-23,,01,영업/정상,18,사용중,,,,,,1477,,서울특별시 광진구 중곡동 587번지 2호,서울특별시 광진구 동일로 462 (중곡동, 케이티앤지성동지점),04901,케이티앤지성동지사 주차장 지하1층,2023-10-27 15:23:45,U,2022-10-30 22:09:00.0,,207028.163502694,452117.471356011,,,,,서울시광진구민방위대피시설인허가정보.csv
3040000,3040000-S201100001,2017-12-14,,01,영업/정상,18,사용중,,,,,,132,,서울특별시 광진구 중곡동 259번지 10호,서울특별시 광진구 긴고랑로12길 49 (중곡동, 중곡제1동주민센터),04915,중곡1동 주민센터 지하1층,2023-10-27 11:01:30,U,2022-10-30 22:09:00.0,,207001.367534447,450927.134340395,,,,,서울시광진구민방위대피시설인허가정보.csv
3040000,3040000-S198700001,2016-03-02,,01,영업/정상,18,사용중,,,,,,7855,,서울특별시 광진구 중곡동 30번지 1호,서울특별시 광진구 용마산로 127 (중곡동, 국립정신건강센터),04933,국립정신건강센터 주차장 지하1~2층,2023-10-27 15:01:15,U,2022-10-30 22:09:00.0,,207510.076791915,451417.864438667,,,,,서울시광진구민방위대피시설인허가정보.csv
3040000,3040000-S199400001,1996-06-28,,01,영업/정상,18,사용중,,,,,,826.45,,서울특별시 광진구 중곡동 231번지 1호,서울특별시 광진구 면목로 127 (중곡동, 신성그랜드타워),04911,신성그랜드타워 지하주차장 1~2층,2023-10-27 11:13:55,U,2022-10-30 22:09:00.0,,207019.192311058,451435.772826853,,,,,서울시광진구민방위대피시설인허가정보.csv
3040000,3040000-S199500001,1995-11-15,,01,영업/정상,18,사용중,,,,,,10128.97,,서울특별시 광진구 능동 275번지 5호,서울특별시 광진구 천호대로 지하 550,04997,군자역 지하 1~3층,2023-10-27 11:12:40,U,2022-10-30 22:09:00.0,,207046.345299635,450498.146738913,,,,,,서울시광진구민방위대피시설인허가정보.csv
3040000,3040000-S198300001,1983-12-07,,01,영업/정상,18,사용중,,,,,,518,,서울특별시 광진구 중곡동 611번지 7호,서울특별시 광진구 동일로 323 (중곡동),04900,군자지하보도 지하1층,2023-10-27 13:55:29,U,2022-10-30 22:09:00.0,,206444.117386218,450870.122385357,,,,,,서울시광진구민방위대피시설인허가정보.csv
