개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),문화체육업종명,공사립구분명,보험가입여부코드,지도자수,건축물동수,건축물연면적,회원모집총인원,세부업종명,법인명,,,,,,정보
3040000,CDFH3301081991000005,19910927,,03,폐업,03,폐업,20040614,,,,461-6350,,143904,서울특별시 광진구 중곡동 244-10번지 ,서울특별시 광진구 면목로 98  (중곡동),,모아당구장,2004-06-14 10:57:34,I,2018-08-31 23:59:59.0,,206953.027880279    ,451124.521294472    ,당구장업,사립,0,,,,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081991000006,19911106,,03,폐업,03,폐업,19981120,,,,454-9779,,143848,서울특별시 광진구 능동 236-1번지 ,서울특별시 광진구 천호대로 576  (능동),,백합당구장,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,207160.189487314    ,450403.116877344    ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081991000007,19911123,,03,폐업,03,폐업,20000624,,,,458-4517,,143866,서울특별시 광진구 자양동 612-21번지 ,서울특별시 광진구 자양로15길 108  (자양동),,곰당구장,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,206819.758093715    ,448021.288260459    ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081991000008,19911211,,03,폐업,03,폐업,20030331,,,,456-4166,,143890,서울특별시 광진구 중곡동 123-1번지 ,서울특별시 광진구 용마산로 45  (중곡동),,허리우드당구장,2003-12-26 16:30:51,I,2018-08-31 23:59:59.0,,207678.913806917    ,450591.624253068    ,당구장업,사립,0,,,,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081992000002,19920529,,01,영업/정상,13,영업중,,,,,,,143837,서울특별시 광진구 군자동 49-20번지 2층 ,서울특별시 광진구 군자로 145, 2층 (군자동),04996,양지당구장,2019-02-07 08:27:42,U,2019-02-09 02:40:00.0,,206585.514654253    ,450255.882539227    ,당구장업,사립,,,0,0,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081992000003,19920626,,03,폐업,03,폐업,20031220,,,,467-1258,,143838,서울특별시 광진구 군자동 467-19번지 ,서울특별시 광진구 면목로 41  (군자동),,내당구장,2003-12-26 14:06:26,I,2018-08-31 23:59:59.0,,206690.492446085    ,450609.55455349     ,당구장업,사립,0,,,,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081992000004,1992-10-16,,04,취소/말소/만료/정지/중지,35,직권말소,2023-03-29,,,,465-8518,,143-842,서울특별시 광진구 자양동 36-401,,,휴게실당구장,2023-03-29 14:28:52,U,2022-12-02 21:01:00.0,,,,,,,,,,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081993000002,1993-04-19,,04,취소/말소/만료/정지/중지,35,직권말소,2023-03-29,,,,444-2714,,143-888,서울특별시 광진구 중곡동 93-46,서울특별시 광진구 용마산로 8 (중곡동),,O.K당구장,2023-03-29 10:01:11,U,2022-12-02 21:01:00.0,,207771.329956322,450223.753609897,,,,,,,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081993000003,19930531,,01,영업/정상,13,영업중,,,,,463-5506,,,서울특별시 광진구 자양동 8-1번지 ,서울특별시 광진구 아차산로 220 (자양동),05072,BILLIARD PLUS BAR,2017-03-08 17:02:09,I,2018-08-31 23:59:59.0,,205906.77215752     ,448710.967950599    ,당구장업,사립,,,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
3040000,CDFH3301081993000004,19930531,,01,영업/정상,13,영업중,,,,,468-8410,,143840,서울특별시 광진구 군자동 355-14번지 ,서울특별시 광진구 광나루로 347  (군자동),,스타당구장,2003-05-13 11:23:25,I,2018-08-31 23:59:59.0,,205997.23851977     ,449576.658143009    ,당구장업,사립,,0,0,0,,,,,,,,,서울시광진구당구장업인허가정보.csv
