개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),문화체육업종명,문화사업자구분명,지역구분명,총층수,주변환경명,제작취급품목내용,보험기관명,건물용도명,지상층수,지하층수,객실수,건축연면적,영문상호명,영문상호주소,선박총톤수,선박척수,선박제원,무대면적,좌석수,기념품종류,회의실별동시수용인원,시설면적,놀이기구수내역,놀이시설수,방송시설유무,발전시설유무,의무실유무,안내소유무,기획여행보험시작일자,기획여행보험종료일자,자본금,보험시작일자,보험종료일자,부대시설내역,시설규모,,정보
3040000,CDFE1230002006000001,20060525,,01,영업/정상,13,영업중,,,,,02-3445-9637,,143807,서울특별시 광진구 광장동 319-33 ,서울특별시 광진구 구천면로 20 (광장동),143807,예스24 라이브홀,2021-07-08 08:49:17,U,2021-07-10 02:40:00.0,,209479.331104244    ,449280.291661999    ,공연장,공연장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구공연장인허가정보.csv
3040000,CDFE1230002007000001,20070702,,03,폐업,03,폐업,20160104,,,,02-2024-1648,,143730,서울특별시 광진구 자양동 227-0007번지 ,서울특별시 광진구 아차산로 272 (자양동),143730,롯데시네마 건대입구관 제5관,2016-01-05 17:22:42,I,2018-08-31 23:59:59.0,,206349.675048285    ,448396.939704285    ,공연장,공연장,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구공연장인허가정보.csv
3040000,CDFE1230002010000001,20100927,,01,영업/정상,13,영업중,,,,,02)2204-3100,,,서울특별시 광진구 광장동 313-3,서울특별시 광진구 구천면로 2 (광장동, 광진청소년수련관),04970,시립광진청소년센터 대극장,2022-06-08 18:37:40,U,2021-12-05 23:00:00.0,,209343.001409181,449330.493519953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구공연장인허가정보.csv
3040000,CDFE1230002012000001,20120830,,01,영업/정상,13,영업중,,,,,02-3436-7777,,143831,서울특별시 광진구 구의동 595번지 ,서울특별시 광진구 구의강변로 38 (구의동),143831,동서울아트홀,2019-03-12 18:04:47,U,2019-03-14 02:40:00.0,,208051.884671132    ,447994.805558304    ,공연장,공연장,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구공연장인허가정보.csv
3040000,CDFE1230002013000001,20130228,,01,영업/정상,13,영업중,,,,,02-3408-3114,,143747,서울특별시 광진구 군자동 98번지 ,서울특별시 광진구 능동로 209 (군자동),143747,학생회관 대공연장,2018-11-07 13:43:00,U,2018-11-09 02:36:18.0,,206479.980833988    ,449827.630945538    ,공연장,공연장,근린상업지역,8,주택가주변,,,교육연구시설,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구공연장인허가정보.csv
3040000,CDFE1230002013000002,20130801,,01,영업/정상,13,영업중,,,,,02-456-0116,,143847,서울특별시 광진구 능동 18 ,서울특별시 광진구 능동로 지하 216 (능동),143847,서울상상나라극장,2021-06-22 18:07:22,U,2021-06-24 02:40:00.0,,207138.865762508    ,449705.690586932    ,공연장,공연장,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구공연장인허가정보.csv
3040000,CDFE1230002020000001,20200514,,01,영업/정상,13,영업중,,,,,02-458-4840,,,서울특별시 광진구 자양동 630-41번지 ,서울특별시 광진구 자양로11길 18 (자양동),05058,pmf자양스테이션,2020-05-14 16:27:02,I,2020-05-16 00:23:20.0,,207269.157807648    ,448044.12833358     ,공연장,공연장,주거지역,3,주택가주변,,,근린생활시설,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구공연장인허가정보.csv
3040000,CDFE1230002020000002,20201211,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 자양동 497-4 지하1층 ,서울특별시 광진구 뚝섬로36길 49, 지하1층 (자양동),05094,충동소극장,2020-12-11 17:36:45,I,2020-12-13 00:23:06.0,,206174.754581936    ,447781.317272306    ,공연장,공연장,,,,,,근린생활시설,,1,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구공연장인허가정보.csv
3040000,CDFE1230002021000001,20210906,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 화양동 111-73 BLUE SKY ,서울특별시 광진구 능동로19길 23, BLUE SKY (화양동),05009,설렘아트홀,2021-09-06 10:21:32,I,2021-09-08 00:22:50.0,,206324.116092316    ,449420.23835582     ,공연장,공연장,일반상업지역,0,,,,근린생활시설,0,1,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0,서울시광진구공연장인허가정보.csv
3040000,CDFE1230002022000001,20220513,,01,영업/정상,13,영업중,,,,,024507575,,,서울특별시 광진구 중곡동 30-80 보건복지행정타운,서울특별시 광진구 능동로 400, 보건복지행정타운 (중곡동),04933,광진어린이공연장,2022-05-13 15:25:02,I,2021-12-04 23:05:00.0,,207401.825013542,451410.234980088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구공연장인허가정보.csv
3040000,CDFE1230002023000001,2023-04-26,,01,영업/정상,13,영업중,,,,,02-468-7811,,,서울특별시 광진구 중곡동 252-12 우인아트홀,서울특별시 광진구 동일로 360, 우인아트홀 5층 (중곡동),04916,우인아트홀,2023-04-27 10:13:32,I,2022-12-03 22:09:00.0,,206642.970467607,451165.753463964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구공연장인허가정보.csv
