개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),문화체육업종명,문화사업자구분명,지역구분명,총층수,주변환경명,제작취급품목내용,보험기관명,건물용도명,지상층수,지하층수,객실수,건축연면적,영문상호명,영문상호주소,선박총톤수,선박척수,선박제원,무대면적,좌석수,기념품종류,회의실별동시수용인원,시설면적,놀이기구수내역,놀이시설수,방송시설유무,발전시설유무,의무실유무,안내소유무,기획여행보험시작일자,기획여행보험종료일자,자본금,보험시작일자,보험종료일자,부대시설내역,시설규모,,,정보
3040000,CDFI2262212023000005,2023-06-28,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 자양동 52-24,서울특별시 광진구 뚝섬로30가길 22, 2층 (자양동),05084,한강에어비엔비,2023-08-14 13:59:03,U,2022-12-07 23:07:00.0,,205685.275619297,448086.943780003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212023000004,2023-06-14,,01,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 화양동 44-38,서울특별시 광진구 아차산로21길 30, 201호 (화양동),05020,서호빌리지,2023-08-14 13:57:54,U,2022-12-07 23:07:00.0,,205726.193252331,448992.647147341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212019000004,20190826,,1,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 화양동 33-49번지,서울특별시 광진구 동일로26길 33, 102호 (화양동),5015,파랑새 하우스(Bluebird house),2020-02-04,U,2020-02-06 02:40:00.0,,205920.3005,449202.808,외국인관광 도시민박업,,,,,,,단독주택,2,1,1,,,,,,,,,,,77.76,,,,,,,,,,,,,78,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212019000003,20190730,,1,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 자양동 10-44번지 트윈빌,서울특별시 광진구 아차산로26길 17-6, 202호 (자양동, 트윈빌),5072,Konkuk univ cozy house,2020-02-04,U,2020-02-06 02:40:00.0,,205787.8938,448673.1542,외국인관광 도시민박업,,일반주거지역,5,,,,다세대주택,5,,1,,,,,,,,,,,51.23,,,,,,,,,20000000,,,,51,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212016000003,20160202,,1,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 자양동 682-26,서울특별시 광진구 뚝섬로 702-4 (자양동),,River Side,2021-08-05,U,2021-08-07 02:40:00.0,,207646.7056,447857.6423,외국인관광 도시민박업,,,0,,,,,0,0,2,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212014000002,20140217,,1,영업/정상,13,영업중,,,,,,,143-858,서울특별시 광진구 자양동 464-1번지 대원아트빌 501호,서울특별시 광진구 자양번영로5길 37-1 (자양동),,친친스테이(Chinchin Stay),2019-04-09,U,2019-04-11 02:40:00.0,,206411.8127,447844.1039,외국인관광 도시민박업,,주거지역,5,,,,다세대주택,5,,1,,Chinchin Stay,Urban Home Visit System for Foreign Tourist,,,,,,,,90.41,,,,,,,,,,,,,90,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212015000001,20150114,,1,영업/정상,13,영업중,,,,,,,143-875,서울특별시 광진구 자양동 681-12번지,서울특별시 광진구 뚝섬로60길 4-10, 201호 (자양동, 스카이빌),,줄라이(July),2019-04-09,U,2019-04-11 02:40:00.0,,207530.9486,447802.7083,외국인관광 도시민박업,,,,,,,,,,2,,July,Urban Home Visit System for Foreign Tourist,,,,,,,,,,,,,,,,,,,,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212017000001,20170314,,1,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 구의동 633-14,서울특별시 광진구 광나루로30가길 7-8 (구의동),5023,SB하우스,2022-03-10,U,2022-03-12 02:40:00.0,,207240.6879,449142.1041,외국인관광 도시민박업,,,0,,,,,0,0,1,0,,,0,0,,0,0,,0,33,,0,,,,,,,10000000,,,,33,,,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212020000002,20200727,,1,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 화양동 427-2 BRICK HANDS-7,서울특별시 광진구 능동로16길 50-7, 401호 (화양동, BRICK HANDS-7),5021,게스트하우스 브릭핸즈,2021-01-04,U,2021-01-06 02:40:00.0,,206643.1499,449186.4424,외국인관광 도시민박업,,주거지역,,,,,,,,3,,,,,,,,,,,48.04,,,,,,,,,30000000,,,,48,서울시광진구외국인관광도시민박업인허가정보.csv
3040000,CDFI2262212021000002,20210831,,1,영업/정상,13,영업중,,,,,,,,서울특별시 광진구 중곡동 93-36,서울특별시 광진구 용마산로 6-10 (중곡동),4953,릴릴레지던스 1,2022-01-03,U,2022-01-05 02:40:00.0,,207812.025,450217.7234,외국인관광 도시민박업,,,0,,,,,0,0,3,0,liilliil Residence,Shared lodging Business,0,0,,0,0,,0,50.1,,0,,,,,,,30000000,,,,50,,,서울시광진구외국인관광도시민박업인허가정보.csv
