고정형CCTV지번주소,위도,경도,자치구,단속지점명,현장구분,등록일시,단속지번주소,정보,geometry,index_right
서울 광진구 구의동 17-1,37.55462988849168,127.09663483440023,광진구,구의동 금성빌라 앞,불법주정차구역,2021-02-10 15:01:58,서울 광진구 구의동 17-1,cctv위치,POINT (127.09663483440023 37.55462988849168),116126.0
서울 광진구 자양동 695,37.5322597934091,127.090960364989,광진구,성동초등학교 앞,불법주정차구역,2021-06-29 16:06:16,서울 광진구 자양동 695,cctv위치,POINT (127.090960364989 37.5322597934091),115664.0
서울 광진구 자양동 3-7,37.5379668842133,127.06890217938,광진구,자양호반써밋플레이스 앞,불법주정차구역,2021-08-20 15:44:43,서울 광진구 자양동 3-7,cctv위치,POINT (127.06890217938 37.5379668842133),114747.0
서울 광진구 자양동 855,37.53336343607953,127.06853453853512,광진구,이튼타워리버3차 앞,불법주정차구역,2021-02-10 15:01:13,서울 광진구 자양동 855,cctv위치,POINT (127.06853453853512 37.53336343607953),114746.0
서울 광진구 중곡동 18-27,37.565519763629,127.087047680464,광진구,국립정신건강센터 건너편,불법주정차구역,2021-06-29 16:05:31,서울 광진구 중곡동 18-27,cctv위치,POINT (127.087047680464 37.565519763629),
서울 광진구 구의동 641-1,37.5436894848226,127.081768027384,광진구,구의초등학교 앞,불법주정차구역,2022-02-07 10:51:41,서울 광진구 구의동 641-1,cctv위치,POINT (127.081768027384 37.5436894848226),115206.0
서울 광진구 자양동 2-3,37.5383623629598,127.069313155594,광진구,더라움펜트하우스 앞,불법주정차구역,2022-07-11 09:17:39,서울 광진구 자양동 2-3,cctv위치,POINT (127.069313155594 37.5383623629598),114747.0
서울 광진구 구의동 72-13,37.5480249364914,127.090385304281,광진구,광진초등학교 앞 ,불법주정차구역,2022-10-05 10:04:46,서울 광진구 구의동 72-13,cctv위치,POINT (127.090385304281 37.5480249364914),115666.0
서울 광진구 광장동 571-1,37.5410200339713,127.096637520597,광진구,올림픽대교북단사거리,불법주정차구역,2022-10-13 13:48:06,서울 광진구 광장동 571-1,cctv위치,POINT (127.096637520597 37.5410200339713),116124.0
서울 광진구 자양동 2-2,37.5391238503525,127.069683630291,광진구,건대입구 자이엘라 앞 ,불법주정차구역,2022-09-22 15:32:39,서울 광진구 자양동 2-2,cctv위치,POINT (127.069683630291 37.5391238503525),114747.0
서울 광진구 중곡동 138-5,37.5578135970306,127.083221597706,광진구,용마초등학교 앞,불법주정차구역,2022-10-05 10:05:32,서울 광진구 중곡동 138-5,cctv위치,POINT (127.083221597706 37.5578135970306),115208.0
서울 광진구 중곡동 175-27,37.5686097694919,127.082600970933,광진구,혜원약국 앞 ,불법주정차구역,2022-10-13 13:48:49,서울 광진구 중곡동 175-27,cctv위치,POINT (127.082600970933 37.5686097694919),
서울 광진구 중곡동 76-12,37.5582387067308,127.091477014382,광진구,중곡동 드림빌 앞 ,불법주정차구역,2022-10-13 13:49:26,서울 광진구 중곡동 76-12,cctv위치,POINT (127.091477014382 37.5582387067308),115667.0
서울 광진구 자양동 553-632,37.5338581490659,127.071616152061,광진구,동자초등학교 앞 ,불법주정차구역,2022-10-05 10:09:09,서울 광진구 자양동 553-632,cctv위치,POINT (127.071616152061 37.5338581490659),114746.0
