관리번호,위도,경도,정보,geometry,index_right
용마산로1-8,37.5567072,127.088255,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.088255 37.5567072),115667.0
용마산로1-9,37.5570814,127.0881847,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0881847 37.5570814),115667.0
용마산로2-1,37.5590663,127.0875711,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0875711 37.5590663),115667.0
용마산로2-10,37.5557851,127.0881326,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0881326 37.5557851),115667.0
용마산로2-11,37.5554563,127.0881826,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0881826 37.5554563),115667.0
용마산로2-12,37.55506,127.0882583,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0882583 37.55506),115667.0
용마산로2-13,37.5547514,127.088311,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.088311 37.5547514),115667.0
용마산로2-14,37.5544316,127.0883609,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0883609 37.5544316),115667.0
용마산로2-15,37.5541659,127.0884133,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0884133 37.5541659),115666.0
용마산로2-2,37.5587686,127.0876305,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0876305 37.5587686),115667.0
용마산로2-3,37.5583975,127.0876824,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0876824 37.5583975),115667.0
용마산로2-4,37.5579884,127.0877571,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0877571 37.5579884),115667.0
용마산로2-5,37.5575909,127.0878181,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0878181 37.5575909),115667.0
용마산로2-6,37.5572264,127.087887,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.087887 37.5572264),115667.0
용마산로2-7,37.5568728,127.0879427,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0879427 37.5568728),115667.0
용마산로2-8,37.5564878,127.0880184,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0880184 37.5564878),115667.0
용마산로2-9,37.5561313,127.0880892,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0880892 37.5561313),115667.0
용마산로3-1,37.5595087,127.0877782,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0877782 37.5595087),115667.0
용마산로3-10,37.5625169,127.0872968,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0872968 37.5625169),115667.0
용마산로3-11,37.562831,127.0872342,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0872342 37.562831),115667.0
용마산로3-12,37.5631124,127.0871845,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0871845 37.5631124),115667.0
용마산로3-13,37.5634343,127.0871224,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0871224 37.5634343),
용마산로3-2,37.5597865,127.0877421,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0877421 37.5597865),115667.0
용마산로3-3,37.5601005,127.0877118,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0877118 37.5601005),115667.0
용마산로3-4,37.5604007,127.0876827,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0876827 37.5604007),115667.0
용마산로3-5,37.5607142,127.0876449,서울특별시 광진구_가로등 위치정보_20220214.csv,POINT (127.0876449 37.5607142),115667.0
