서울시광진구골프연습장업인허가정보.csv,서울시광진구공연장인허가정보.csv,서울시광진구관광숙박업인허가정보.csv,서울시광진구노래연습장업인허가정보.csv,서울시광진구단란주점영업인허가정보.csv,서울시광진구당구장업인허가정보.csv,서울시광진구대규모점포인허가정보.csv,서울시광진구동물병원인허가정보.csv,서울시광진구목욕장업인허가정보.csv,서울시광진구미용업인허가정보.csv,서울시광진구민방위대피시설인허가정보.csv,서울시광진구병원인허가정보.csv,서울시광진구세탁업인허가정보.csv,서울시광진구수영장업인허가정보.csv,서울시광진구숙박업인허가정보.csv,서울시광진구안전상비의약품판매업소인허가정보.csv,서울시광진구약국인허가정보.csv,서울시광진구영화상영관인허가정보.csv,서울시광진구외국인관광도시민박업인허가정보.csv,서울시광진구유흥주점영업인허가정보.csv,서울시광진구의원인허가정보.csv,서울시광진구일반음식점인허가정보.csv,서울시광진구제과점영업인허가정보.csv,서울시광진구집단급식소식품판매업인허가정보.csv,서울시광진구집단급식소인허가정보.csv,서울시광진구체육도장업인허가정보.csv,서울시광진구휴게음식점인허가정보.csv,cctv위치,단속장소,서울특별시 광진구_공영주차장 정보_20220118.csv,서울특별시 광진구_가로등 위치정보_20220214.csv,정보_105102.0,정보_114287.0,정보_114288.0,정보_114746.0,정보_114747.0,정보_114748.0,정보_114749.0,정보_115205.0,정보_115206.0,정보_115207.0,정보_115208.0,정보_115664.0,정보_115665.0,정보_115666.0,정보_115667.0,정보_116123.0,정보_116124.0,정보_116125.0,정보_116126.0,정보_116583.0,정보_116584.0,정보_116585.0,수집순서_1_수집순서,수집순서_2_수집순서,수집순서_3_수집순서
1.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,1.0,52.0,1.0,0.0,11.0,0.0,0.0,5.0,6.0,0.0,2.0,0.0,17.0,129.0,5.0,2.0,8.0,6.0,52.0,1.0,6243.0,1.0,137.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0
6.0,4.0,1.0,66.0,10.0,39.0,6.0,1.0,1.0,123.0,0.0,1.0,7.0,1.0,3.0,32.0,19.0,18.0,2.0,0.0,55.0,804.0,23.0,0.0,13.0,5.0,222.0,7.0,6107.0,3.0,140.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0
0.0,3.0,4.0,16.0,6.0,26.0,1.0,2.0,2.0,70.0,3.0,1.0,12.0,0.0,22.0,22.0,7.0,0.0,1.0,7.0,22.0,321.0,6.0,0.0,16.0,7.0,93.0,3.0,2155.0,2.0,168.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0
0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,3.0,0.0,7.0,0.0,63.0,0.0,32.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0
1.0,1.0,0.0,26.0,7.0,22.0,1.0,5.0,2.0,125.0,2.0,1.0,25.0,0.0,0.0,21.0,13.0,0.0,2.0,0.0,42.0,325.0,7.0,2.0,13.0,10.0,105.0,1.0,1126.0,1.0,122.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0
1.0,0.0,0.0,1.0,0.0,9.0,0.0,1.0,1.0,32.0,2.0,0.0,7.0,0.0,3.0,11.0,1.0,0.0,1.0,0.0,6.0,135.0,1.0,0.0,8.0,2.0,44.0,0.0,188.0,0.0,108.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0
0.0,2.0,0.0,2.0,0.0,7.0,0.0,1.0,0.0,8.0,1.0,0.0,2.0,2.0,0.0,11.0,1.0,0.0,0.0,0.0,2.0,98.0,3.0,0.0,4.0,0.0,42.0,4.0,453.0,0.0,96.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0
3.0,0.0,2.0,38.0,10.0,29.0,1.0,4.0,0.0,142.0,3.0,2.0,13.0,0.0,8.0,27.0,18.0,9.0,0.0,1.0,45.0,521.0,11.0,6.0,6.0,11.0,121.0,4.0,2293.0,3.0,268.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0
5.0,1.0,1.0,6.0,4.0,7.0,1.0,4.0,3.0,37.0,0.0,1.0,7.0,0.0,1.0,13.0,6.0,0.0,1.0,2.0,15.0,97.0,3.0,2.0,13.0,6.0,31.0,6.0,2107.0,1.0,118.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0
5.0,0.0,1.0,36.0,16.0,25.0,0.0,5.0,1.0,120.0,7.0,0.0,22.0,1.0,5.0,29.0,10.0,0.0,0.0,4.0,32.0,454.0,9.0,1.0,14.0,7.0,120.0,3.0,1740.0,2.0,154.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,0
